District,EAST,NORTH,Plot_names,Total_C_ha,Year,Zone,Mean_Temp_yr,Mean_D_R,Isothermality,Temp_Seasnoality,Max_Temp_Warmest_Month,Min_Temp_Coldest_Month,Temp_Range_yr,Mean_Temp_Wattest_Q,Mean_Temp_Driest_Q,Mean_Tem_Warmest_Q,Mean_Temp_Coldest_Q,Prec_yr,Prec_Wattest_Month,Prec_Driest_Month,Prec_Seasonality,Prec_Wattest_Q,Prec_Driest_Q,Prec_Warmest_Q,Prec_Coldest_Q
Khamti,761000,2734000,N2734000E761000,142.2443404,2014,46,267,112,49,2076,380,152,228,267,253,293,238,2966,687,2,109,1980,13,310,19
Katha,785998,2733999,N2733999E785998,338.3087338,2015,46,266,112,49,2060,379,152,227,266,253,292,237,2945,677,2,109,1966,12,307,19
Khamti,674000,2736000,N2736000E674000,100.9219626,2014,46,268,112,49,2101,381,153,228,268,254,295,238,2946,682,2,109,1966,13,309,19
Khamti,720000,2738000,N2738000E720000,169.1658854,2014,46,267,112,49,2086,380,152,228,266,253,293,238,2906,672,2,108,1931,13,308,19
Khamti,704000,2739997,N2739997E704000,101.8567221,2014,46,264,112,49,2061,377,150,227,264,251,291,235,2847,658,2,108,1882,13,307,19
Katha,764002,2739997,N2739997E764002,87.77001227,2015,46,266,113,49,2116,379,150,229,267,252,293,236,2896,673,2,108,1921,13,309,19
Khamti,713998,2739997,N2739997E713998,150.7838433,2014,46,266,113,49,2126,379,150,229,266,252,293,236,2901,674,2,108,1925,13,309,19
Khamti,748000,2738000,N2738000E748000,171.1344836,2014,46,266,113,49,2111,379,151,228,266,252,293,236,2912,675,2,108,1935,13,309,19
Katha,775988,2744014,N2744014E775988,114.1712264,2015,46,266,113,49,2081,379,151,228,266,252,293,237,2923,683,2,108,1941,13,310,19
Katha,790003,2745998,N2745998E790003,143.3458189,2015,46,269,113,49,2082,382,154,228,269,255,295,240,2958,694,1,109,1968,12,313,19
Katha,774000,2746000,N2746000E774000,235.2694044,2015,46,265,113,49,2116,379,150,229,264,251,292,235,2862,668,2,108,1888,13,310,19
Khamti,758000,2746000,N2746000E758000,104.7762168,2014,46,267,113,49,2116,381,152,229,267,253,294,237,2888,674,1,108,1911,12,311,19
Katha,776001,2745998,N2745998E776001,136.0510916,2015,46,266,113,49,2093,379,151,228,266,252,293,237,2870,668,2,108,1897,13,310,19
Katha,772000,2744002,N2744002E772000,48.25366643,2015,46,267,113,49,2106,381,152,229,267,253,294,238,2919,680,2,108,1939,13,310,19
Khamti,722001,2745998,N2745998E722001,14.34153703,2014,46,266,113,49,2118,380,150,230,266,251,293,236,2850,661,2,108,1883,13,308,19
Katha,777998,2744001,N2744001E777998,82.67332165,2015,46,265,113,49,2124,379,150,229,265,251,292,235,2846,659,2,108,1880,13,307,19
Katha,777998,2748002,N2748002E777998,84.41544351,2015,46,263,113,49,2116,376,147,229,263,250,290,234,2781,645,2,107,1821,13,309,19
Khamti,725014,2749006,N2749006E725014,17.23582363,2014,46,266,113,49,2131,379,150,229,266,251,293,236,2834,660,2,107,1862,13,312,20
Katha,780001,2748001,N2748001E780001,116.4588127,2015,46,263,113,49,2117,377,148,229,263,250,290,234,2766,640,2,107,1810,13,308,19
Khamti,706002,2751992,N2751992E706002,28.78941581,2014,46,265,113,49,2144,379,149,230,265,251,292,235,2776,642,2,107,1813,13,311,20
Katha,776002,2751997,N2751997E776002,128.5093177,2015,46,265,114,49,2161,379,149,230,266,251,292,234,2803,651,2,107,1833,13,313,20
Khamti,750000,2750000,N2750000E750000,184.5021668,2014,46,270,113,49,2143,383,154,229,269,255,297,239,2905,680,1,108,1921,12,315,19
Gangaw,633000,2328000,N2328000E633000,16.05411754,2013,46,225,119,50,2262,338,101,237,228,210,251,193,1235,207,5,84,573,18,229,18
Gangaw,627000,2334000,N2334000E627000,14.42952383,2013,46,235,120,50,2298,349,110,239,237,219,261,202,1226,204,4,84,573,16,229,16
Gangaw,624000,2328000,N2328000E624000,13.55531828,2013,46,238,119,49,2321,353,114,239,244,222,265,205,1277,213,4,85,614,16,227,16
Taunggoo,804000,2103000,N804000E2103000,18.41642741,2010,46,266,113,49,2448,377,147,230,269,230,295,230,1823,402,1,99,1084,12,230,12
Khamti,739000,2812000,N2812000E739000,70.23015648,2014,46,252,114,48,2424,364,131,233,257,217,281,217,1466,290,2,91,798,14,212,14
Khamti,732000,2822000,N2822000E732000,174.7005218,2014,46,261,113,48,2431,372,141,231,265,225,289,225,1578,331,1,95,900,12,210,12
Khamti,734000,2822000,N2822000E734000,79.22769674,2014,46,249,114,48,2424,360,127,233,254,213,277,213,1437,280,2,90,773,13,212,13
Khamti,736000,2822000,N2822000E736000,74.92345354,2014,46,256,114,48,2451,368,135,233,261,221,285,221,1442,292,1,91,794,13,207,13
Khamti,742000,2812000,N2812000E742000,160.184394,2014,46,265,113,48,2449,375,144,231,269,229,293,229,1533,324,1,95,873,14,205,14
Khamti,744000,2806000,N2806000E744000,83.42005131,2014,46,262,114,48,2457,374,141,233,267,227,291,227,1468,304,1,93,823,14,204,14
Khamti,744000,2812000,N2812000E744000,200.5899794,2014,46,253,114,48,2441,364,131,233,257,217,281,217,1396,275,1,90,755,13,208,13
Khamti,737000,2797000,N2797000E737000,62.31399081,2014,46,264,113,48,2457,375,143,232,268,228,293,228,1486,310,1,94,838,14,203,14
Khamti,755000,2782000,N2782000E755000,138.5416064,2014,46,266,113,48,2453,379,147,232,269,231,296,231,1636,348,1,97,961,13,202,13
Khamti,756000,2782000,N2782000E756000,131.2777301,2014,46,266,113,49,2422,378,148,230,269,232,296,232,1612,341,1,96,943,13,200,13
Khamti,704000,2782000,N2782000E704000,140.7445369,2014,46,267,113,48,2470,379,146,233,270,231,296,231,1450,297,1,94,820,12,193,12
Khamti,695000,2782000,N2782000E695000,81.61578669,2014,46,267,113,48,2484,380,146,234,270,231,296,231,1464,301,1,94,831,12,193,12
Khamti,728000,2776000,N2776000E728000,134.3513799,2014,46,267,113,48,2512,380,146,234,271,231,297,231,1422,289,1,93,799,12,192,12
Khamti,750000,2768000,N2768000E750000,116.0766273,2014,46,266,113,48,2509,379,145,234,270,230,296,230,1392,279,1,92,775,12,190,12
