Local_names,Genus,Species,Species_Code
Kaya-hmwe,Elaeocarpus,robustus,155
Waso,Elaeocarpus,wallichii,156
Zibyu,Emblica,officinalis,157
Pan-swele,Engelhardia,spicata,158
Petsut,Eriobotrya,bengalensis,159
Dwani/Swani,Eriolaena,candollei,160
Taung-gwe,Eriolobus,indica,161
Ye-kathit,Erythrina,lithosperma,162
Taung-kathit,Erythrina,stricta,163
Kathit,Erythrina,suberosa,164
Pinle-kathit,Erythrina,variegata,165
Thabye,Eugenia,spp.,166
Taung-lapet,Eurya,japonica,167
Kin-thabutgyi,Evoda,meliaefolia,168
Thayaw,Excoecaria,agallocha,169
Anan,Fagraea,fragrans,170
Thi,Feronia,elephantum,171
Nyaung,Ficus,spp.,172
Thadut,Ficus,cunia,173
Nyaung-kyetpaung,Ficus,elastica,174
Thapan,Ficus,glomerata,175
Ka-aung,Ficus,hispida,176
Sin-thapan,Ficus,roxburghii,177
Wetshaw,Firmiana,colorata,178
Naywe,Flacourtia,cataphracta,179
Taung-thale,Garcinia,cowa,180
Taw-mingut,Garcinia,heterandra,181
Metlin,Garcinia,paniculata,182
Parawa,Garcinia,speciosa,183
Madaw,Garcinia,xanthochymus,184
Yingat-gyi,Gardenia,coronaria,185
Hmanni,Gardenia,erythroclada,186
Thamin-za-ni,Gardenia,turgida,187
Yingat-gale,Gardenia,obtusifolia,188
Thamin-za-byu,Gardenia,sessiliflora,189
Chinyok,Garuga,pinnata,190
Akyawsi-bin,Gaultheria,fragrantissima,191
Laymin-bin,Gelonium,multiflorus,192
Tamasok,Glochidion,spp.,193
Thayet-thitsi,Gluta,tavoyana,194
Yemane,Gmelina,arborea,195
Tayaw-ah,Grewia,aspera,196
Kyet-tayaw,Grewia,glabra,197
Khwe-tayaw,Grewia,humilis,198
Pin-tayaw,Grewia,elatostemoides,199
Pet-shat,Grewia,scabrophylla,200
Tayaw,Grewia,tiliaefolia,201
Pinle-thitkauk,Gyrocarpus,jacquinii,202
Petthan,Haplophragma,adenophyllum,203
Daukyat-gyi,Helicia,erratica,204
Sin-kozi,Helicia,terminalis,205
Kanazo,Heritiera,fomes,206
Tachan-za,Heteropanax,fragrans,207
Thit-linda,Heterophragma,sulfuerum,208
Rubber,Hevea,braziliensis,209
Tagat-tagyi,Heynea,trijuga,210
Petwun-gyi,Hibiscus,macrophyllus,211
Thinban,Hibiscus,tiliaceus,212
Lettok-gyi,Holarrhena,antidysenterica,213
Pyaukseik,Holoptelea,integrifolia,214
Myaukchaw,Homalium,tomentosum,215
Thingan-net,Hopea,helferi,216
Thingan-magale,Hopea,minutiflora,217
Thingan,Hopea,odorata,218
Kalaw-pyu,Hydnocarpus,spp.,219
Kuthan,Hymenodictyon,excelsum,220
Tat-talun,Intsia,bijuga,221
Seinban-pya,Jacaranda,mimosifolia,222
Thitkya,Juglans,regia,223
Baingdaung-she,Kandelia,rheedoii,224
Taung-gangaw,Kayea,nervosa,225
Dwabok,Kydia,calcina,226
Leza-byu,Lagerstroemia,calyculata,227
Pyinma-byu,Lagerstroemia,floribunda,228
Kapali-pyinma,Lagerstroemia,hypoleuca,229
Kon-pyinma,Lagerstroemia,macrocarpa,230
Zaungbale-bo,Lagerstroemia,parviflora,231
Pyinma,Lagerstroemia,speciosa,232
Leza,Lagerstroemia,tomentosa,233
Zaung-bale-ywet-gyi,Lagerstroemia,venusta,234
Zaungbale,Legerstroemia,villosa,235
Nabe,Lennea,grandis,236
Bawza-gaing,Leucana,glauca,237
Tinyu-hmwe,Libocedrus,macrolepis,238
Thanatka,Limonia,acidissima,239
Kalaway (Chin),Lindera,assamica,240
Sanse,Linociera,terniflora,241
Ondon,Litsaea,glutinosa,242
Ondon-laukya,Litsaea,monopetalla,243
Nasha,Litsaea,nitida,244
Yemane-ni,Lophopetalum,filiforme,245
Taung-yemane,Lophopetalum,fimbriatum,246
Mondaing-bin,Lophopetalum,wallichii,247
Dawe-hmaing,Lumnitzera,coccinea,248
Pet-waing,Macaranga,denticulata,249
Seikan-gyi,Machilus,odorastissima,250
Hlega,Machilus,villosa,251
Meza,Madhuca,longifolia,252
Kin-ba-lin-net,Maesa,indica,253
Indaing-thidin,Mallotus,clellandii,254
Taw-thidin,Mallotus,phillippenensis,255
Taung-kado,Mallotus,floribundus,256
Taw-thayet,Mangifera,caloneura,257
Thayet,Mangifera,indica,258
Thayet-pya,Mangifera,longipes,259
Sinnin-thayet,Mangifera,sylvatica,260
Sagasein-gyi,Manglietia,hookeri,261
Taung-saga,Manglietia,insignis,262
Saga-po,Manglietia,utilis,263
Kapali-thit,Manilkara,littoralis,264
Mahlwa,Markhamia,stipulata,265
Kalamet,Mansonia,gagei,266
Kalan,Melaleuca,leucadendron,267
Taung-thitsi,Melanorrhoea,glabra,268
Thitsi,Melanorrhoea,usitata,269
Pantama,Melia,burmanica,270
Pet-kanan,Meliosma,spp.,271
Thabye-on,Memecylon,edule,272
Gangaw,Mesua,ferrea,273
Sagawa,Michelia,champaca,274
Saga-pyu,Michelia,doltsopa,275
Ye-sagawa,Michelia,lacei,276
Myat-ya,Microcos,paniculata,277
Thabut-thein,Miliusa,roxburghiana,278
Taw-sagasein,Miliusa,thorelii,279
Thabut-gyi,Miliusa,velutina,280
Kywe-danyin,Milletia,atropurpurea,281
Thit-pagan,Millettia,brandisiana,282
Pingan,Millettia,multiflora,283
Natha,Millettia,ovalifolia,284
Thinwin,Millettia,pendula,285
Thinwin-bo,Millettia,pubinervis,286
Thinwin-zat,Millettia,pulchra,287
Egayit,Millingtonia,hortensis,288
Kayay,Mimusops,elengi,289
Tein,Mitragyna,purvifolia,290
Binga,Mitragyna,rotundifolia,291
Bein-sa,Mitragyna,speciosa,292
Thabut-net,Mitrephora,maingayi,293
Nibase,Morinda,tinctoria,294
Taw-posa,Morus,laevigata,295
Kyaung-thwe,Murraya,koenigi,296
Yuzana,Murraya,paniculata,297
Kazaw,Myrsine,semiserrata,298
Ma-u-kadon,Nauclea,orientalis,299
Thit-payaung,Neonauclea,excelsa,300
Thit-thingan,Neonauclea,griffithii,301
Tein-kala,Neonauclea,sessilifolia,302
Yodaya,Ochna,wallichii,303
Kyaung-sha,Oroxylum,indicum,304
Yebadon-gale,Ostodes,paniculata,305
Zaung-gyan,Osyris,wightiana,306
Pyin-padauk,Pahudia,martabanica,307
Pinle-byin,Palaquim,obovatum,308
Peinne-bo,Palaquim,polyanthum,309
Pinlebyin-ani,Palaquim,sukoei,310
Kyaung-dauk,Pajanelia,rheedii,311
Thingadu,Parashorea,stellata,312
Myauk-tanyet,Parkia,insignis,313
Myasein,Parkinsonia,NA,314
Pasin-swe,Payena,paralleloneura,315
Thinbaw-mezali,Peltophorum,inerme,316
Thitka,Pentace,burmanica,317
Thitsho,Pentace,griffithii,318
Ingyin,Pentacme,siamensis,319
Pinle-kyetyo,Petunga,roxburghii,320
Seiknan,Phoebe,lanceolata,321
Taung-kanyin,Phoebe,paniculata,322
Muttagyi,Pistacia,coccinea,323
Tinyu,Pinus,insularis,324
Hna-khwa-tinyu,Pinus,merkusii,325
Thinbaw-magyi,Pithecellobium,dulce,326
Ye-kadi,Pittosporum,floribundum,327
Sha-mo (Kachin),Podocarpus,imbricatus,328
Thitmin-po,Podocarpus,neriifolia,329
Thitmin,Podocarpus,wallichianus,330
Gyoban,Polyalthia,cerasoides,331
Thinbaw-te,Polyalthia,longifolia,332
Taw-thabut,Polyalthia,simiarum,333
Thinwin-pyu,Pongamia,pinnata,334
Taung-tangyi,Premna,integrifolia,335
Kyun-nalin,Premna,latifolia,336
Kyunbo,Premna,pyramidata,337
Gandasein,Prosopis,juliflora,338
Thadi,Protium,serrata,339
Cherry,Prunus,cerasoides,340
Kapali-padauk,Pterocarpus,dalbergoides,341
Pashu-padauk,Pterocarpus,indicus,342
Padauk,Pterocarpus,macrocarpus,343
Natha-ni,Pterocarpus,santalinus,344
Sawbya,Pterocymbium,tinctorium,345
Taung-letkok,Pterygota,alata,346
Taung-petwun,Pterospermum,acerifolium,347
Taung-hagye,Pterospermum,lanceaefolium,348
Nagye,Pterospermum,semisagittum,349
Badi-byu,Putranjiva,roxburghii,350
Palat,Quercus,brandisiana,351
Kywetsa-ni,Quercus,dealbata,352
Kamyin,Quercus,fenestrata,353
Nyanbo,Quercus,griffithii,354
Yingu-akyi,Quercus,helferiana,355
Wunthabok,Quercus,kingiana,356
Phet-kyan,Quercus,lindleyana,357
Yingu-athe,Quercus,mespilifolia,358
Thite-gyin,Quercus,polystachya,359
Wet-thitcha,Quercus,semiserrata,360
Nyan,Quercus,serrata,361
Sagat,Quercus,spicata,362
Ye-petkyan,Quercus,brevipetiolata,363
Kywetsa-net,Quercus,truncata,364
Thit-cha,Quercus,spp.,365
Se-thanbaya,Randia,dumetorium,366
Hmanbyu,Randia,uliginosa,367
Byu-chidauk-ma,Rhizophora,mucronata,368
Byu-chidauk,Rhizophora,candelaria,369
Zalat-ni,Rhododendron,spp.,370
Khaung-bin,Rhus,paniculata,371
Mai-kok-kyin,Rhus,semialata,372
Taw-okshit,Rinorea,bengalensis,373
Bamaw,Sageraea,listeri,374
Momaka,Salix,tetrasperma,375
Kok-he,Salmalia,anceps,376
Didu,Salmalia,insignis,377
Letpan,Salmalia,malabarica,378
Theban,Samadera,indica,379
Kathe,Samadera,lucida,380
Thinbaw-kokko,Samanea,saman,381
Thitto,Sandoricum,koetjape,382
Santagu,Santalam,album,383
Magyi-bauk,Sapindus,spp.,384
Linlun,Sapium,baccatum,385
Thit-pyauk,Sapium,insigne,386
Payaung,Sapium,sebriferum,387
Thawka,Saraca,indica,388
Tawgyi-kyitya,Saracospermum,arboreum,389
Thit-ngayan,Saurauja,roxburghii,390
Laukya-byu,Schima,noronhae,391
Laukya,Schima,wallichii,392
Gyo,Schleichera,oleosa,393
Thitswele,Schrebera,swietenioides,394
Che,Semicarpus,anacardium,395
Thitsi-bo,Semicarpus,pandurata,396
Ye-thagyi,Sesbania,sesban,397
Kanyaung,Shorea,argentea,398
Kyilan,Shorea,assamica,399
Myauk-Thingan,Shorea,buchananii,400
Kadut,Shorea,cinerea,401
Uban,Shorea,farinosa,402
Kaban-ywetthe,Shorea,floribunda,403
Uban-kaya,Shorea,gratissima,404
Thitya,Shorea,oblongifolia,405
Kanban-thangyin,Shorea,sericiflora,406
Thitcho,Sideroxylon,tomentosum,407
Kambala,Sonneratia,apetala,408
Lame,Sonneratia,alba,409
Lamu,Sonneratia,caseolaris,410
Laba,Sonneratia,griffithii,411
Gwe,Spondias,pinnata,412
Letkok,Sterculia,foetida,413
Shaw,Sterculia,spp.,414
Thakut-po,Stereospermum,fimbriatum,415
Thanbe,Stereospermum,neuranthum,416
Thande,Stereospermum,personatum,417
Kywema-gyolein,Stereospermum,suaveolens,418
Okhne,Sterblus,asper,419
Banatha,Strombosia,javanica,420
Kabaung,Strychnos,nux-blanda,421
Kabaung-yekyi,Strychnos,potatorum,422
Mahogany,Swietenia,macrophylla,423
Taung-thayet,Swintonia,floribunda,424
Shittle-pyu,Swintonia,schewnkii,425
Daukyat,Symplocos,racemosa,426
Tayok-khaung-bin,Taiwania,cryptomerioides,427
Thit-linne,Talauma,spongocarpa,428
Magyi,Tamarindus,indica,429
